service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T2#58","0","0","0","0","0","1","0","20250402","20251213"
"T2#59","0","1","0","0","0","1","0","20241215","20250421"
"T2#6","0","1","0","0","0","1","0","20241215","20250109"
"T2#60","0","0","0","0","0","1","0","20250422","20251213"
"T2#61","0","0","0","0","0","1","0","20241215","20251213"
"T2#62","0","0","0","0","0","1","0","20250318","20250406"
"T2#63","0","0","0","0","0","1","0","20250407","20250526"
"T2#64","0","0","0","0","0","1","0","20241215","20251213"
"T2#65","0","0","0","0","0","1","0","20241215","20251213"
"T2#66","0","0","0","0","0","1","0","20250328","20250401"
"T2#67","0","0","0","0","0","1","0","20241215","20251213"
"T2#68","0","0","0","0","0","1","0","20250630","20250829"
"T2#69","0","0","0","0","0","1","0","20241215","20250901"
"T2#7","0","0","0","0","0","1","0","20250110","20250504"
"T2#70","0","0","0","0","0","1","0","20250902","20251213"
"T2#71","0","0","0","0","0","1","0","20250217","20251213"
"T2#72","0","0","0","0","0","1","0","20241215","20251213"
"T2#73","0","0","0","0","0","1","0","20250331","20251025"
"T2#74","0","0","0","0","0","1","0","20241215","20251213"
"T2#75","0","0","0","0","0","1","0","20250108","20250217"
"T2#76","0","0","0","0","0","1","0","20241215","20250901"
"T2#77","0","0","0","0","0","1","0","20241215","20250901"
"T2#78","0","1","0","0","0","1","0","20241215","20241230"
"T2#79","0","0","0","0","0","1","0","20250101","20250323"
"T2#8","0","0","0","0","0","1","0","20250318","20250418"
"T2#80","0","1","0","0","0","1","0","20241215","20241231"
"T2#81","0","0","0","0","0","1","0","20241215","20250601"
"T2#82","0","1","0","0","0","1","0","20241215","20250405"
"T2#83","0","0","0","0","0","1","0","20250406","20250518"
"T2#84","0","0","0","0","0","1","0","20250412","20250421"
"T2#85","0","0","0","0","0","1","0","20250519","20251213"
"T2#86","0","0","0","0","0","1","0","20241215","20251213"
"T2#87","0","0","0","0","0","1","0","20250204","20250617"
"T2#88","0","0","0","0","0","1","0","20241215","20251213"
"T2#89","0","1","0","0","0","1","0","20241215","20250404"
"T2#9","0","1","0","0","0","1","0","20241215","20250216"
"T2#90","0","0","0","0","0","1","0","20241222","20251213"
"T2#91","0","0","0","0","0","1","0","20250211","20250410"
"T2#92","0","0","0","0","0","1","0","20250411","20250421"
"T2#93","0","0","0","0","0","1","0","20250422","20250626"
"T2#94","0","0","0","0","0","1","0","20241218","20251213"
"T2#95","0","0","0","0","0","1","0","20250113","20250225"
"T2#96","0","1","0","0","0","1","0","20241222","20250511"
"T2#97","0","0","0","0","0","1","0","20250203","20250209"
"T2#98","0","0","0","0","0","1","0","20250512","20251213"
"T2#99","0","1","0","0","0","1","0","20241215","20250205"
"T2+2u000","0","0","0","0","0","1","0","20250412","20250421"
"T2+3u000","0","0","0","0","0","1","0","20250412","20250421"
"T2+63","0","1","0","0","0","0","0","20241224","20241224"
"T2+8T","0","1","0","0","0","0","0","20241224","20241224"
"T2+t6","0","0","0","0","0","1","0","20241215","20250216"
"T2+t6#1","0","0","0","0","0","1","0","20241215","20250202"
"T2+WS","0","0","0","0","0","1","0","20241215","20241230"
"T2+WS#1","0","0","0","0","0","1","0","20250101","20251213"
"T2+WS#2","0","0","0","0","0","1","0","20250101","20251213"
"T2+xR","0","0","0","0","0","1","0","20250204","20250617"
"T3","0","0","0","0","0","0","1","20241215","20251213"
"T3#1","0","0","0","0","0","0","1","20250406","20250406"
"T3#10","0","0","0","0","0","0","1","20250414","20251213"
"T3#100","1","0","0","1","0","0","1","20250318","20250706"
"T3#101","1","0","1","0","0","0","1","20241215","20250421"
"T3#102","0","0","0","0","0","0","1","20250422","20251213"
"T3#103","0","0","0","0","0","0","1","20241215","20251213"
"T3#104","1","0","1","1","0","0","1","20241215","20250106"
"T3#105","0","0","0","0","0","0","1","20250107","20251213"
"T3#106","1","0","0","1","0","0","1","20250204","20250617"
"T3#107","0","0","0","0","0","0","1","20241215","20241222"
"T3#108","0","0","0","0","0","0","1","20241223","20251213"
"T3#109","0","0","0","0","0","0","1","20241223","20251213"
"T3#11","0","0","0","0","0","0","1","20241215","20241221"
"T3#110","0","0","0","0","0","0","1","20241215","20251213"
"T3#111","0","0","0","0","0","0","1","20250224","20250405"
"T3#112","1","0","1","1","0","0","1","20241215","20250223"
"T3#113","0","0","1","0","0","0","1","20241215","20250408"
"T3#114","0","0","0","0","0","0","1","20241215","20251213"
"T3#115","1","0","0","1","0","0","1","20250407","20250504"
"T3#116","1","0","0","1","0","0","1","20250505","20250620"
"T3#117","0","0","0","0","0","0","1","20241215","20251213"
"T3#118","0","0","0","0","0","0","1","20250318","20250418"
"T3#119","1","0","1","0","0","0","1","20241227","20250205"
"T3#12","0","0","0","0","0","0","1","20241222","20251213"
"T3#120","0","0","0","0","0","0","1","20250206","20251213"
"T3#121","0","0","0","0","0","0","1","20250318","20250418"
"T3#122","1","0","1","0","0","0","1","20241215","20250421"
"T3#123","0","0","1","1","0","0","0","20241223","20241226"
"T3#124","1","0","0","0","0","0","1","20241227","20250421"
"T3#13","0","0","0","0","0","0","1","20241222","20251213"
"T3#14","0","0","0","0","0","0","1","20241215","20251213"
"T3#15","0","0","1","0","0","0","1","20241215","20250404"
"T3#16","0","0","0","0","0","0","1","20250405","20250408"
"T3#17","0","0","0","0","0","0","1","20250409","20251213"
"T3#18","0","0","0","0","0","0","1","20241215","20251213"
"T3#19","1","0","0","1","0","0","1","20250318","20250706"
"T3#2","1","0","1","1","0","0","1","20241215","20250109"
"T3#20","0","0","1","0","0","0","1","20241215","20250331"
"T3#21","0","0","0","0","0","0","1","20250403","20251213"
"T3#22","0","0","0","1","0","0","1","20250519","20250914"
"T3#23","0","0","0","1","0","0","1","20250517","20250914"
"T3#24","1","0","1","1","0","0","1","20241215","20250202"
"T3#25","0","0","0","0","0","0","1","20250203","20251213"
"T3#26","0","0","1","0","0","0","1","20241215","20250323"
"T3#27","1","0","0","1","0","0","1","20250324","20250512"
"T3#28","1","0","0","1","0","0","1","20250513","20250619"
"T3#29","0","0","0","0","0","0","1","20250620","20251213"
"T3#3","0","0","0","0","0","0","1","20250110","20250410"
"T3#30","0","0","0","0","0","0","1","20250115","20251213"
"T3#31","0","0","0","0","0","1","0","20251101","20251101"
"T3#32","0","0","0","0","0","0","1","20241215","20251213"
"T3#33","1","0","1","0","0","0","1","20241215","20250421"
"T3#34","0","0","0","1","0","0","1","20250422","20250518"
"T3#35","1","0","0","0","0","1","1","20250915","20251213"
"T3#36","0","0","0","0","0","0","1","20241215","20251213"
"T3#37","0","0","0","0","0","0","1","20250330","20251025"
"T3#38","0","0","1","1","0","0","1","20241215","20241230"
"T3#39","0","0","0","0","0","0","1","20250101","20251213"
"T3#4","1","0","0","1","0","0","1","20250411","20250504"
"T3#40","1","0","0","0","0","0","1","20250101","20250427"
"T3#41","0","0","0","0","0","0","1","20250428","20251213"
"T3#42","1","0","0","1","0","0","1","20250407","20250620"
"T3#43","0","0","0","0","0","0","1","20241215","20251213"
"T3#44","0","0","0","1","0","0","1","20241215","20250601"
"T3#45","0","0","0","0","0","0","1","20250602","20251213"
"T3#46","0","0","0","0","0","0","1","20241215","20251213"
"T3#47","0","0","0","0","0","0","1","20241215","20251213"
"T3#48","0","0","0","0","0","0","1","20250504","20250504"
"T3#49","0","0","0","0","0","0","1","20241215","20251213"
"T3#5","1","0","0","1","0","0","1","20250505","20250707"
"T3#50","1","0","1","1","0","0","1","20241215","20250106"
"T3#51","0","0","0","0","0","0","1","20250107","20251213"
"T3#52","0","0","1","0","0","0","1","20241215","20250401"
"T3#53","0","0","0","0","0","0","1","20250402","20251213"
"T3#54","1","0","1","0","0","0","1","20241215","20250421"
"T3#55","0","0","0","0","0","0","1","20250422","20251213"
"T3#56","0","0","0","0","0","0","1","20241215","20251213"
"T3#57","0","0","0","0","0","0","1","20250318","20250406"
"T3#58","1","0","0","1","0","0","1","20250407","20250526"
"T3#59","0","0","0","0","0","0","1","20241215","20251213"
"T3#6","0","0","0","0","0","0","1","20250708","20251213"
"T3#60","0","0","0","0","0","0","1","20241215","20251213"
"T3#61","0","0","0","0","0","0","1","20250328","20250401"
"T3#62","0","0","0","0","0","0","1","20241215","20250901"
"T3#63","1","0","0","0","0","1","1","20250902","20251213"
"T3#64","0","0","0","0","0","0","1","20250217","20251213"
"T3#65","0","0","0","0","0","0","1","20241215","20251213"
"T3#66","0","0","0","0","0","0","1","20250331","20251025"
"T3#67","0","0","0","0","0","0","1","20241215","20251213"
"T3#68","0","0","0","0","0","0","1","20250108","20250217"
"T3#69","0","0","0","0","0","0","1","20241215","20250901"
"T3#7","0","0","0","0","0","0","1","20250318","20250418"
"T3#70","0","0","0","0","0","0","1","20241215","20250901"
"T3#71","0","0","1","1","0","0","1","20241215","20241230"
"T3#72","1","0","1","0","0","0","1","20250101","20250323"
"T3#73","0","0","0","0","0","0","1","20250511","20250511"
"T3#74","0","0","1","0","0","0","1","20241215","20250405"
"T3#75","1","0","0","1","0","0","1","20250406","20250518"
"T3#76","1","0","0","0","0","0","1","20250412","20250421"
"T3#77","0","0","0","0","0","0","1","20250519","20251213"
"T3#78","1","0","0","0","0","0","0","20251208","20251208"
"T3#79","0","0","0","0","0","0","1","20241215","20251213"
"T3#8","1","0","1","1","0","0","1","20241215","20250216"
"T3#80","1","0","0","1","0","0","1","20250204","20250617"
"T3#81","0","0","0","0","0","0","1","20241215","20251213"
"T3#82","0","0","0","0","0","0","1","20241222","20251213"
"T3#83","0","0","0","0","0","0","1","20250211","20250410"
"T3#84","1","0","0","0","0","0","1","20250411","20250421"
"T3#85","1","0","0","1","0","0","1","20250422","20250626"
"T3#86","0","0","0","0","0","0","1","20241215","20241217"
"T3#87","0","0","0","0","0","0","1","20241218","20251213"
"T3#88","0","0","0","0","0","0","1","20250113","20250225"
"T3#89","0","0","0","0","0","0","1","20241222","20250511"
"T3#9","0","0","0","0","0","0","1","20250217","20250413"
"T3#90","0","0","0","0","0","0","1","20250203","20250209"
"T3#91","0","0","0","0","0","0","1","20250512","20251213"
"T3#92","1","0","1","1","0","0","1","20241215","20250205"
"T3#93","0","0","0","0","0","0","1","20250206","20251213"
"T3#94","0","0","1","1","0","0","1","20241215","20241226"
"T3#95","1","0","0","0","0","0","1","20241227","20250421"
"T3#96","0","0","0","0","0","0","1","20250404","20250406"
"T3#97","0","0","0","0","0","0","1","20250422","20251213"
"T3#98","0","0","0","1","0","0","0","20250501","20250501"
"T3#99","0","0","0","0","0","0","1","20241215","20251213"
"T3+0u000","1","0","0","0","0","0","1","20250412","20250421"
"T3+1u000","0","0","0","0","0","0","1","20250412","20250421"
"T3+2","0","0","1","1","0","0","1","20241215","20241231"
"T3+2#1","0","0","0","0","0","0","1","20250101","20251213"
"T3+2#2","0","0","0","1","0","0","1","20241215","20250601"
"T3+2#3","0","0","1","1","0","0","1","20241215","20241230"
"T3+2#4","0","0","0","0","0","0","1","20241215","20251213"
"T3+2#5","0","0","0","0","0","0","1","20241215","20251213"
"T3+2#6","0","0","0","0","0","0","1","20241215","20241220"
"T3+2#7","1","0","1","1","0","0","1","20241215","20250106"
"T3+2#8","0","0","0","0","0","0","1","20241215","20250404"
"T3+2#9","0","0","0","0","0","0","1","20250405","20250408"
"T3+7y","0","0","0","0","0","0","1","20250422","20250626"
"T3+8u000","1","0","0","0","0","0","1","20250412","20250421"
"T3+9u000","0","0","0","0","0","0","1","20250412","20250421"
"T3+au000","0","0","0","0","0","0","1","20250412","20250421"
"T3+bb03","1","0","1","1","0","0","1","20241215","20250405"
"T3+bb03#1","1","0","0","1","0","0","1","20250406","20250518"
"T3+bb04","0","0","1","0","0","0","1","20241215","20250405"
"T3+bb04#1","0","0","0","0","0","0","1","20250406","20250518"
"T3+bb04#2","0","0","0","0","1","1","1","20250519","20251213"
"T3+bb04#3","0","0","0","0","0","0","1","20250204","20250617"
"T3+cO","0","0","0","0","0","0","1","20250411","20250421"
"T3+eh2","0","0","0","0","0","0","1","20241215","20241221"
"T3+eh2#1","0","0","0","0","0","0","1","20241222","20251213"
"T3+eh2#2","0","0","0","0","0","0","1","20241222","20251213"
"T3+eh2#3","0","0","0","0","0","0","1","20241218","20251213"
"T3+eh2#4","0","0","0","0","0","0","1","20241222","20250511"
"T3+eh2#5","0","0","0","0","0","0","1","20250512","20251213"
"T3+k6200","0","0","0","0","0","0","1","20241215","20251213"
"T3+t2000","1","0","0","1","0","0","1","20250204","20250617"
"T3+wp","0","0","0","0","0","0","1","20250519","20251213"
"T4","1","0","0","1","0","1","1","20250513","20250619"
"T4#1","0","0","0","0","0","1","1","20250204","20250617"
"T4#2","0","0","0","0","0","1","1","20241221","20251213"
"T4#3","0","0","0","0","0","1","1","20250108","20250217"
"T4#4","0","0","0","0","0","1","1","20250217","20250413"
"T4#5","0","0","0","1","0","1","1","20250414","20250714"
"T4#6","0","0","0","0","0","1","1","20250409","20251213"
"T5","1","1","1","1","0","0","0","20241215","20251213"
"T5#1","1","1","1","1","0","0","0","20241215","20241223"
"T5#10","1","1","1","1","0","0","0","20250211","20250410"
"T5#11","1","1","1","1","0","0","0","20250411","20250421"
"T5#12","1","1","1","1","0","0","0","20250422","20250626"
"T5#13","1","1","0","0","0","0","0","20241215","20241217"
"T5#14","1","1","1","1","0","0","0","20250203","20250209"
"T5#15","1","1","1","1","0","0","0","20241215","20241222"
"T5#2","1","0","0","0","0","0","0","20241225","20241230"
"T5#3","1","1","1","1","0","0","0","20250101","20251213"
"T5#4","1","1","1","1","0","0","0","20241215","20241220"
"T5#5","1","1","1","1","0","0","0","20250204","20250617"
"T5#6","1","1","1","1","0","0","0","20241215","20250106"
"T5#7","1","1","1","1","0","0","0","20241215","20250404"
"T5#8","1","1","0","0","0","0","0","20250405","20250408"
"T5#9","1","1","1","1","0","0","0","20241215","20241221"
"T5+k1000","1","1","1","1","0","0","0","20250204","20250617"
"T5+ta","0","0","1","0","0","0","0","20250204","20250617"
"T6","0","0","0","0","1","0","0","20250509","20250510"
"T6#1","0","0","0","0","1","0","0","20241215","20251213"
"T6#10","0","0","0","0","1","0","0","20250211","20250410"
"T6#11","0","0","0","0","1","0","0","20250411","20250421"
"T6#12","0","0","0","0","1","0","0","20250422","20250626"
"T6#13","0","0","0","0","1","0","0","20250203","20250209"
"T6#14","0","0","0","0","1","0","0","20250404","20250406"
"T6#15","0","0","0","0","1","0","0","20250516","20250516"
"T6#16","0","0","0","0","1","0","0","20241215","20241222"
"T6#2","0","0","0","0","1","0","0","20241215","20241223"
"T6#3","0","0","0","0","1","0","0","20241225","20241230"
"T6#4","0","0","0","0","1","0","0","20250101","20251213"
"T6#5","0","0","0","0","1","0","0","20241215","20241220"
"T6#6","0","0","0","0","1","0","0","20250204","20250617"
"T6#7","0","0","0","0","1","0","0","20241215","20250106"
"T6#8","0","0","0","0","1","0","0","20241215","20250404"
"T6#9","0","0","0","0","1","0","0","20241215","20241221"
"T8","1","1","1","1","1","0","0","20241215","20251213"
"T8#1","1","1","1","1","1","0","0","20241215","20250109"
"T8#10","1","1","1","1","1","0","0","20250414","20251213"
"T8#11","1","1","1","1","1","0","0","20241215","20241221"
"T8#12","1","1","1","1","1","0","0","20241222","20251213"
"T8#13","1","1","1","1","1","0","0","20241222","20251213"
"T8#14","1","1","1","1","1","0","0","20241215","20251213"
"T8#15","1","1","1","1","1","0","0","20241215","20250404"
"T8#16","1","1","0","0","0","0","0","20250405","20250408"
"T8#17","1","1","1","1","1","0","0","20250409","20251213"
"T8#18","1","1","1","1","1","0","0","20241215","20251213"
"T8#19","1","1","1","1","1","0","0","20241215","20250202"
"T8#2","1","1","1","1","1","0","0","20250110","20250410"
"T8#20","1","1","1","1","1","0","0","20250203","20251213"
"T8#21","1","1","1","1","1","0","0","20241215","20250323"
"T8#22","1","1","1","1","1","0","0","20250324","20250512"
"T8#23","1","1","1","1","1","0","0","20250620","20251213"
"T8#24","1","1","1","1","1","0","0","20250115","20251213"
"T8#25","1","1","1","1","1","0","0","20241215","20251213"
"T8#26","1","1","1","1","1","0","0","20241215","20241230"
"T8#27","1","1","1","1","1","0","0","20250101","20250427"
"T8#28","1","1","1","1","1","0","0","20250428","20251213"
"T8#29","1","1","1","1","1","0","0","20241215","20251213"
"T8#3","1","1","1","1","1","0","0","20250411","20250504"
"T8#30","1","1","1","1","1","0","0","20241215","20250601"
"T8#31","1","1","1","1","1","0","0","20250602","20251213"
"T8#32","1","1","1","1","1","0","0","20250101","20251213"
"T8#33","1","1","1","1","1","0","0","20241215","20251213"
"T8#34","1","1","1","1","1","0","0","20241215","20251213"
"T8#35","1","1","1","1","1","0","0","20241215","20251213"
"T8#36","1","1","1","1","1","0","0","20241215","20250106"
"T8#37","1","1","1","1","1","0","0","20250107","20251213"
"T8#38","1","1","1","1","1","0","0","20241215","20251213"
"T8#39","1","1","1","1","1","0","0","20250318","20250406"
"T8#4","1","1","1","1","1","0","0","20250505","20250707"
"T8#40","1","1","1","1","1","0","0","20241215","20251213"
"T8#41","1","1","1","1","1","0","0","20241215","20250421"
"T8#42","1","1","1","1","1","0","0","20250422","20251213"
"T8#43","1","1","1","1","1","0","0","20241215","20241230"
"T8#44","1","1","1","1","1","0","0","20250101","20250421"
"T8#45","1","1","1","1","1","0","0","20250217","20251213"
"T8#46","1","1","1","1","1","0","0","20241215","20250901"
"T8#47","1","1","1","1","1","0","0","20250902","20251213"
"T8#48","1","1","1","1","1","0","0","20241215","20251213"
"T8#49","1","1","1","1","1","0","0","20250108","20250217"
"T8#5","1","1","1","1","1","0","0","20250708","20251213"
"T8#50","1","1","1","1","1","0","0","20241222","20251213"
"T8#51","1","1","1","1","1","0","0","20241218","20251213"
"T8#52","1","1","1","1","1","0","0","20241222","20250511"
"T8#53","1","1","1","1","1","0","0","20250512","20251213"
"T8#54","1","1","1","1","1","0","0","20241215","20250205"
"T8#55","1","1","1","1","1","0","0","20250206","20251213"
"T8#56","1","1","1","1","1","0","0","20241227","20250421"
"T8#57","1","1","1","1","1","0","0","20250422","20251213"
"T8#58","1","1","1","1","1","0","0","20241215","20251213"
"T8#59","1","1","1","1","1","0","0","20250318","20250706"
"T8#6","1","1","1","1","1","0","0","20241215","20250109"
"T8#60","1","1","1","1","1","0","0","20241215","20250421"
"T8#61","1","1","1","1","1","0","0","20250422","20251213"
"T8#62","1","1","1","1","1","0","0","20241215","20251213"
