"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"22-1-j25-2",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-24",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-3",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-31",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-4",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-5",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-6",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-7",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-1-j25-9",4,"1","Prater, Hauptallee - Stefan-Fadinger-Platz",0,"C00808","FFFFFF"
"22-25-j25-1",4,"25","Aspern, Oberdorfstraße - Floridsdorf",0,"C00808","FFFFFF"
"22-25-j25-2",4,"25","Aspern, Oberdorfstraße - Floridsdorf",0,"C00808","FFFFFF"
"22-25-j25-24",4,"25","Aspern, Oberdorfstraße - Floridsdorf",0,"C00808","FFFFFF"
"22-25-j25-31",4,"25","Aspern, Oberdorfstraße - Floridsdorf",0,"C00808","FFFFFF"
"22-26-j25-1",4,"26","Hausfeldstraße - Strebersdorf",0,"C00808","FFFFFF"
"22-26-j25-2",4,"26","Hausfeldtstraße - Strebersdorf",0,"C00808","FFFFFF"
"22-26-j25-24",4,"26","Hausfeldtstraße - Strebersdorf",0,"C00808","FFFFFF"
"22-26-j25-31",4,"26","Hausfeldtstraße - Strebersdorf",0,"C00808","FFFFFF"
"22-2-j25-1",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-2",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-24",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-3",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-31",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-4",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-5",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-2-j25-6",4,"2","Dornbach - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-30-j25-1",4,"30","Floridsdorf - Stammersdorf",0,"C00808","FFFFFF"
"22-30-j25-24",4,"30","Floridsdorf - Stammersdorf",0,"C00808","FFFFFF"
"22-30-j25-3",4,"30","Floridsdorf - Stammersdorf",0,"C00808","FFFFFF"
"22-30-j25-31",4,"30","Floridsdorf - Stammersdorf",0,"C00808","FFFFFF"
"22-31-j25-1",4,"31","Schottenring - Stammersdorf",0,"C00808","FFFFFF"
"22-31-j25-24",4,"31","Schottenring - Stammersdorf",0,"C00808","FFFFFF"
